dataset,it,size,implementation,ari,ri,jaccard,peakmem
subsample_it_3_size_25000,3,24766,jl32,0.8642949788811003,0.9750505531288304,0.9890601690701144,
subsample_it_3_size_25000,3,24766,py,0.8325562124423952,0.9680116538896133,1.0,
subsample_it_3_size_250000,3,247709,R,1.0,1.0,1.0,
subsample_it_3_size_250000,3,247709,jl,0.7848189584245728,0.9630898414080407,0.9880715705765407,
subsample_it_3_size_250000,3,247709,jl32,0.636855173928146,0.9206840949664691,0.9880715705765407,
subsample_it_3_size_250000,3,247709,py,0.7362998606275398,0.9496570464383405,1.0,
subsample_it_3_size_3000,3,2980,R,1.0,1.0,1.0,
subsample_it_3_size_3000,3,2980,jl,0.8782104781653787,0.9718177128039452,0.9960079840319361,
subsample_it_3_size_3000,3,2980,jl32,0.8837912340261217,0.9728405324970544,0.9960079840319361,
subsample_it_3_size_3000,3,2980,py,0.6175252487191605,0.9094169251877234,1.0,
subsample_it_3_size_50000,3,49543,R,1.0,1.0,1.0,
subsample_it_3_size_50000,3,49543,jl,0.7613879412865895,0.9612104279882487,0.9870839542970691,
subsample_it_3_size_50000,3,49543,jl32,0.8583169971026015,0.9753135878635749,0.9870839542970691,
subsample_it_3_size_50000,3,49543,py,0.5826550082753192,0.9189982422955681,1.0,
subsample_it_3_size_500000,3,495458,R,1.0,1.0,1.0,
subsample_it_3_size_500000,3,495458,jl,0.7795323005846398,0.9634512473163248,0.9890601690701144,
subsample_it_3_size_500000,3,495458,jl32,0.783145058932946,0.9668770685218571,0.9890601690701144,
subsample_it_3_size_500000,3,495458,py,0.639956155872221,0.9351099373920463,1.0,
subsample_it_3_size_6000,3,5939,R,1.0,1.0,1.0,
subsample_it_3_size_6000,3,5939,jl,0.6926950455965093,0.9289959882358486,0.998001998001998,
subsample_it_3_size_6000,3,5939,jl32,0.9172155392861912,0.9828218186115936,0.998001998001998,
subsample_it_3_size_6000,3,5939,py,0.5916072875252572,0.9058171459234904,1.0,
subsample_it_3_size_75000,3,74351,R,1.0,1.0,1.0,
subsample_it_3_size_75000,3,74351,jl,0.8201626788925073,0.9680469025592878,0.9870839542970691,
subsample_it_3_size_75000,3,74351,jl32,0.8940618533001143,0.9820218880913436,0.9870839542970691,
subsample_it_3_size_75000,3,74351,py,0.5385719673972902,0.9127425023767877,1.0,
subsample_it_3_size_750000,3,743143,R,1.0,1.0,1.0,
subsample_it_3_size_750000,3,743143,jl,0.8136979882686675,0.9690807140692933,0.9880715705765407,
subsample_it_3_size_750000,3,743143,jl32,0.5963004010992271,0.942112246899508,0.9880715705765407,
subsample_it_3_size_750000,3,743143,py,0.5889342740829124,0.930217678848101,1.0,
subsample_it_4_size_100000,4,99092,R,1.0,1.0,1.0,
subsample_it_4_size_100000,4,99092,jl,0.5929521554437116,0.9304233061380245,0.9930244145490782,
subsample_it_4_size_100000,4,99092,jl32,0.8012996987647981,0.9691751753304734,0.9930244145490782,
subsample_it_4_size_100000,4,99092,py,0.7018672182384729,0.9478785713990984,1.0,
subsample_it_4_size_12000,4,11894,R,1.0,1.0,1.0,
subsample_it_4_size_12000,4,11894,jl,0.8204036028651602,0.9661939101599994,0.9851116625310173,
subsample_it_4_size_12000,4,11894,jl32,0.7326451052070485,0.9528372141647362,0.9851116625310173,
subsample_it_4_size_12000,4,11894,py,0.6280044596427455,0.9158288133084433,1.0,
subsample_it_4_size_125000,4,123874,R,1.0,1.0,1.0,
subsample_it_4_size_125000,4,123874,jl,0.720340510989378,0.9597765457498034,0.9860973187686196,
subsample_it_4_size_125000,4,123874,jl32,0.8075996590085044,0.9711656922153208,0.9860973187686196,
subsample_it_4_size_125000,4,123874,py,0.5953897997252469,0.9339808850653061,1.0,
subsample_it_4_size_25000,4,24778,R,1.0,1.0,1.0,
subsample_it_4_size_25000,4,24778,jl,0.8760557869994321,0.9783456078555691,0.9870839542970691,
subsample_it_4_size_25000,4,24778,jl32,0.8713010085955621,0.9776562429648312,0.9870839542970691,
subsample_it_4_size_25000,4,24778,py,0.7792100841975846,0.9581507046079701,1.0,
subsample_it_4_size_250000,4,247710,R,1.0,1.0,1.0,
subsample_it_4_size_250000,4,247710,jl,0.794663152585995,0.9669190020628683,0.9900497512437811,
subsample_it_4_size_250000,4,247710,jl32,0.6082134888204139,0.9202195653193063,0.9900497512437811,
subsample_it_4_size_250000,4,247710,py,0.6174590073554999,0.9235217416217973,1.0,
subsample_it_4_size_3000,4,2978,R,1.0,1.0,1.0,
subsample_it_4_size_3000,4,2978,jl,0.9237557532887132,0.9826956295557185,0.9801980198019802,
subsample_it_4_size_3000,4,2978,jl32,0.9068412263026705,0.9789787520306229,0.9801980198019802,
subsample_it_4_size_3000,4,2978,py,0.7064529695253818,0.9237433261000556,1.0,
subsample_it_4_size_50000,4,49557,R,1.0,1.0,1.0,
subsample_it_4_size_50000,4,49557,jl,0.8551865665324856,0.9752069368994635,0.9910403185664509,
subsample_it_4_size_50000,4,49557,jl32,0.8570570366716436,0.9743769404641648,0.9910403185664509,
subsample_it_4_size_50000,4,49557,py,0.5199095463002048,0.9077863822942577,1.0,
subsample_it_4_size_500000,4,495457,R,1.0,1.0,1.0,
subsample_it_4_size_500000,4,495457,jl,0.6834293849871161,0.9452578396981707,0.9890601690701144,
subsample_it_4_size_500000,4,495457,jl32,0.7160982903435797,0.9586229227550518,0.9890601690701144,
