dataset,size,implementation,dims,k,resolution,tables,time,purity,classpurity,clusters,ari,ri,avgsilh,seed
3k,2700,scanpy,20,10,0.9,40,0.951496763,,,10,,,0.13743800947940335,0
3k,2700,scanpy,20,10,0.9,40,0.809404158,,,1,,,0.1410413738428628,1
3k,2700,scanpy,20,10,0.9,40,0.748062417,,,1,,,0.14178882279121893,2
3k,2700,scanpy,20,10,0.9,40,0.844910626,,,1,,,0.14138490981083057,3
3k,2700,scanpy,20,10,0.9,40,0.794604061,,,1,,,0.14017544850248548,4
3k,2700,scanpy,20,10,1.0,40,0.890783699,,,10,,,0.13761995849286512,0
3k,2700,scanpy,20,10,1.0,40,0.77472294,,,1,,,0.12717744126219221,1
3k,2700,scanpy,20,10,1.0,40,0.778721111,,,1,,,0.13938105628299055,2
3k,2700,scanpy,20,10,1.0,40,0.818239336,,,1,,,0.1403916744326477,3
3k,2700,scanpy,20,10,1.0,40,0.797696856,,,1,,,0.13864592372998152,4
3k,2700,scanpy,20,10,1.1,40,0.802043107,,,10,,,0.13468139342199825,0
3k,2700,scanpy,20,10,1.1,40,0.830002169,,,1,,,0.1371148532261902,1
3k,2700,scanpy,20,10,1.1,40,0.763156371,,,1,,,0.13830298823376755,2
3k,2700,scanpy,20,10,1.1,40,0.996982143,,,1,,,0.13428622168680107,3
3k,2700,scanpy,20,10,1.1,40,0.859263398,,,1,,,0.1365196123288841,4
3k,2700,scanpy,20,10,1.2,40,0.894925323,,,12,,,0.09385448305841186,0
3k,2700,scanpy,20,10,1.2,40,0.794938502,,,1,,,0.12936161767449558,1
3k,2700,scanpy,20,10,1.2,40,0.772768614,,,1,,,0.14164456472054365,2
3k,2700,scanpy,20,10,1.2,40,0.793582852,,,1,,,0.13383261697813065,3
3k,2700,scanpy,20,10,1.2,40,0.892003487,,,1,,,0.13371385293370713,4
3k,2700,scanpy,20,20,0.05,40,0.993518303,,,3,,,0.25500484194282,0
3k,2700,scanpy,20,20,0.08,40,0.943571693,,,3,,,0.25500484194282,0
3k,2700,scanpy,20,20,0.1,40,0.874041412,,,3,,,0.25500484194282,0
3k,2700,scanpy,20,20,0.1,40,0.972892298,,,1,,,0.2544871788572266,1
3k,2700,scanpy,20,20,0.1,40,0.876587942,,,1,,,0.2544871788572266,2
3k,2700,scanpy,20,20,0.1,40,0.952442873,,,1,,,0.254842782770775,3
3k,2700,scanpy,20,20,0.1,40,0.878356729,,,1,,,0.254842782770775,4
3k,2700,scanpy,20,20,0.2,40,1.015466714,,,4,,,0.253663782267506,0
3k,2700,scanpy,20,20,0.2,40,0.945164336,,,1,,,0.2574501158112009,1
3k,2700,scanpy,20,20,0.2,40,0.837196524,,,1,,,0.25060717384540876,2
3k,2700,scanpy,20,20,0.2,40,0.924294237,,,1,,,0.2536001591437254,3
3k,2700,scanpy,20,20,0.2,40,0.927892014,,,1,,,0.254728574242283,4
3k,2700,scanpy,20,20,0.3,40,0.898971204,,,4,,,0.2538572048779365,0
3k,2700,scanpy,20,20,0.3,40,0.968036265,,,1,,,0.25805308774494756,1
3k,2700,scanpy,20,20,0.3,40,0.876371852,,,1,,,0.25792044527116953,2
3k,2700,scanpy,20,20,0.3,40,0.91868276,,,1,,,0.25386160403525454,3
3k,2700,scanpy,20,20,0.3,40,0.847142296,,,1,,,0.2539767932526658,4
